"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13010_40",0.0120636,"Boreal Aspen-Birch Forest",1646,5704,0,68.8107744
"2","All Fire","13020_40",0.0004724,"Laurentian-Acadian Northern Hardwoods Forest",1647,29,0,0.0136996
"3","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5221136,8.3,2537.472096
"4","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,4826790,7.7,2345.81994
"5","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,3367389,5.4,1636.551054
"6","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,3200465,5.1,1555.42599
"7","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2241937,3.6,1089.581382
"8","All Fire","13022_41_50_51",0.000486,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1589,380744,0.6,185.041584
"9","All Fire","13023_51",0.0009718,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",1616,101763,0.2,98.8932834
"10","All Fire","13100_41_62",0.0748626,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,561561,0.9,42039.9165186
"11","All Fire","13100_44_50",0.041736,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,105714,0.2,4412.079504
"12","All Fire","13100_51",0.1077534,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,1291,0,139.1096394
"13","All Fire","13110_50",0.070731,"North-Central Interior Dry Oak Forest and Woodland",1564,12654,0,895.030074
"14","All Fire","13110_51",0.11053,"North-Central Interior Dry Oak Forest and Woodland",1618,9911,0,1095.46283
"15","All Fire","13130_47_50_51",0.0022416,"North-Central Interior Beech-Maple Forest",1565,32864,0.1,73.6679424
"16","All Fire","13130_47_50_51",0.0022416,"North-Central Interior Beech-Maple Forest",1619,36117,0.1,80.9598672
"17","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1591,492628,0.8,1075.0128216
"18","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1566,201633,0.3,440.0035326
"19","All Fire","13140_38_39_40_41_42_43_44_50",0.0021822,"North-Central Interior Maple-Basswood Forest",1648,157,0,0.3426054
"20","All Fire","13310_39_40_41",0.1790012,"Eastern Great Plains Tallgrass Aspen Parkland",1592,27154,0,4860.5985848
"21","All Fire","13310_39_40_41",0.1790012,"Eastern Great Plains Tallgrass Aspen Parkland",1649,2733,0,489.2102796
"22","All Fire","13440_41",0.0120962,"Boreal Jack Pine-Black Spruce Forest",1593,768332,1.2,9293.8975384
"23","All Fire","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,654270,1,126427.340034
"24","All Fire","13442_51",0.0091302,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,61190,0.1,558.676938
"25","All Fire","13620_41_50",0.0899864,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,243,0,21.8666952
"26","All Fire","13620_41_50",0.0899864,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,650,0,58.49116
"27","All Fire","13620_51_63_64_65_66",0.0205164,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,2474894,3.9,50775.9152616
"28","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2724,2163502,3.4,63639.8440304
"29","All Fire","13622_41_50",0.0294152,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2726,1896775,3,55794.01598
"30","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1596,2869819,4.6,13450.2676892
"31","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1568,232481,0.4,1089.5919508
"32","All Fire","13651_40_41_50",0.0046868,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1650,453,0,2.1231204
"33","All Fire","13651_51",0.0039598,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,1207476,1.9,4781.3634648
"34","All Fire","13652_41",0.0019676,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1597,551175,0.9,1084.49193
"35","All Fire","13652_51",0.0018992,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,731479,1.2,1389.2249168
"36","All Fire","13653_41",0.013212,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",1598,3183156,5.1,42055.857072
"37","All Fire","13660_50",0.0065894,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1569,535983,0.9,3531.8063802
"38","All Fire","13660_51_63_64_65_66",0.0064298,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1625,1091156,1.7,7015.9148488
"39","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",1599,97467,0.2,20201.4392748
"40","All Fire","13940_39_40_41",0.2072644,"North-Central Interior Oak Savanna",1652,453,0,93.8907732
"41","All Fire","13940_50_51",0.2031226,"North-Central Interior Oak Savanna",1570,240826,0.4,48917.2032676
"42","All Fire","13950_41_42_43_49_52",0.2013914,"North-Central Oak Barrens",1600,77789,0.1,15666.0356146
"43","All Fire","13950_50",0.2060566,"North-Central Oak Barrens",1571,23594,0,4861.6994204
"44","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1628,998246,1.6,227589.107294
"45","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1601,53326,0.1,12157.741414
"46","All Fire","14071_41_50_51",0.227989,"Laurentian Pine-Oak Barrens",1572,25156,0,5735.291284
"47","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",1602,2107486,3.4,249149.102406
"48","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",1573,225231,0.4,26627.034051
"49","All Fire","14072_41_50_51",0.118221,"Laurentian Pine-Oak Barrens - Jack Pine",1629,135983,0.2,16076.046243
"50","All Fire","14090_50_64",0.0026274,"Great Lakes Alvar",1574,14939,0,39.2507286
"51","All Fire","14110_49_51_52",0.0410286,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,193,0,7.9185198
"52","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,18815,0,5509.927594
"53","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,6437,0,1885.0600012
"54","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1631,5463,0,1599.8264388
"55","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1653,608,0,178.0513408
"56","All Fire","14200_39_40_42",0.1749512,"Northern Tallgrass Prairie",1654,6634,0,1160.6262608
"57","All Fire","14200_41",0.281598,"Northern Tallgrass Prairie",1604,7821,0,2202.377958
"58","All Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",1576,9858,0,2784.2462016
"59","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1605,705055,1.1,3500.880097
"60","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1633,90068,0.1,447.2236472
"61","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1577,12545,0,62.290943
"62","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",1578,32167,0.1,69.0110818
"63","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",1634,13046,0,27.9888884
"64","All Fire","14690_31_39_40_43",0.0204168,"Eastern Great Plains Floodplain Systems",1655,9,0,0.1837512
"65","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1579,17514,0,305.3355732
"66","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1606,19197,0,334.6766586
"67","All Fire","14710_51_62",0.01687,"Central Interior and Appalachian Floodplain Systems",1635,74339,0.1,1254.09893
"68","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1607,434621,0.7,7427.1513448
"69","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1636,223804,0.4,3824.5417952
"70","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1580,180397,0.3,3082.7682536
"71","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1608,4275013,6.8,41218.8203434
"72","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1581,1712958,2.7,16515.9984444
"73","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1637,1388897,2.2,13391.4670946
"74","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1656,50985,0.1,491.587173
"75","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1609,36647,0.1,35.5769076
"76","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1582,8453,0,8.2061724
"77","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1638,21007,0,20.3935956
"78","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,3593603,5.7,3590.009397
"79","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,1056194,1.7,1055.137806
"80","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,1094690,1.7,1093.59531
"81","All Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",1657,109,0,2.1563252
"82","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,31866,0.1,1881.3112812
"83","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,2660,0,157.041612
"84","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,785906,1.3,44365.3367872
"85","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1586,209832,0.3,11845.2681984
"86","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,1106,0,62.4350272
"87","All Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",1658,422,0,20.8861304
"88","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1587,8763,0,732.7725756
"89","All Transitions","13010_40",0.0236062,"Boreal Aspen-Birch Forest",1646,5704,0,134.6497648
"90","All Transitions","13020_40",0.0016138,"Laurentian-Acadian Northern Hardwoods Forest",1647,29,0,0.0468002
"91","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5221136,8.3,9328.0815776
"92","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,4826790,7.7,8623.543014
"93","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,3367389,5.4,6016.1771874
"94","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,3200465,5.1,5717.950769
"95","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2241937,3.6,4005.4446442
"96","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1589,380744,0.6,680.2372304
"97","All Transitions","13023_51",0.0027784,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",1616,101763,0.2,282.7383192
"98","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,561561,0.9,62683.4604396
"99","All Transitions","13100_44_50",0.0440268,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,105714,0.2,4654.2491352
"100","All Transitions","13100_51",0.1164306,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,1291,0,150.3119046
"101","All Transitions","13110_50",0.0810696,"North-Central Interior Dry Oak Forest and Woodland",1564,12654,0,1025.8547184
"102","All Transitions","13110_51",0.1215258,"North-Central Interior Dry Oak Forest and Woodland",1618,9911,0,1204.4422038
"103","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",1565,32864,0.1,4680.1162304
"104","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",1619,36117,0.1,5143.3714062
"105","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1591,492628,0.8,70180.770136
"106","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1566,201633,0.3,28725.040446
"107","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1648,157,0,22.366534
"108","All Transitions","13310_39_40_41",0.2205218,"Eastern Great Plains Tallgrass Aspen Parkland",1592,27154,0,5988.0489572
"109","All Transitions","13310_39_40_41",0.2205218,"Eastern Great Plains Tallgrass Aspen Parkland",1649,2733,0,602.6860794
"110","All Transitions","13440_41",0.013075,"Boreal Jack Pine-Black Spruce Forest",1593,768332,1.2,10045.9409
"111","All Transitions","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,654270,1,126427.340034
"112","All Transitions","13442_51",0.009817,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,61190,0.1,600.70223
"113","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,243,0,22.8375774
"114","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,650,0,61.08817
"115","All Transitions","13620_51_63_64_65_66",0.0272662,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,2474894,3.9,67480.9547828
"116","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2724,2163502,3.4,65700.7960356
"117","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2726,1896775,3,57600.883845
"118","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1596,2869819,4.6,79163.957115
"119","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1568,232481,0.4,6412.988385
"120","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1650,453,0,12.496005
"121","All Transitions","13651_51",0.0836148,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,1207476,1.9,100962.8642448
"122","All Transitions","13652_41",0.0194608,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1597,551175,0.9,10726.30644
"123","All Transitions","13652_51",0.0173768,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,731479,1.2,12710.7642872
"124","All Transitions","13653_41",0.0279418,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",1598,3183156,5.1,88943.1083208
"125","All Transitions","13660_50",0.0075898,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1569,535983,0.9,4068.0037734
"126","All Transitions","13660_51_63_64_65_66",0.007392,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",1625,1091156,1.7,8065.825152
"127","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",1599,97467,0.2,20516.6280594
"128","All Transitions","13940_39_40_41",0.2104982,"North-Central Interior Oak Savanna",1652,453,0,95.3556846
"129","All Transitions","13940_50_51",0.209489,"North-Central Interior Oak Savanna",1570,240826,0.4,50450.397914
"130","All Transitions","13950_41_42_43_49_52",0.2381444,"North-Central Oak Barrens",1600,77789,0.1,18525.0147316
"131","All Transitions","13950_50",0.2479092,"North-Central Oak Barrens",1571,23594,0,5849.1696648
"132","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1628,998246,1.6,227868.616174
"133","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1601,53326,0.1,12172.672694
"134","All Transitions","14071_41_50_51",0.228269,"Laurentian Pine-Oak Barrens",1572,25156,0,5742.334964
"135","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1602,2107486,3.4,253373.3473444
"136","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1573,225231,0.4,27078.4870674
"137","All Transitions","14072_41_50_51",0.1202254,"Laurentian Pine-Oak Barrens - Jack Pine",1629,135983,0.2,16348.6105682
"138","All Transitions","14090_50_64",0.4337066,"Great Lakes Alvar",1574,14939,0,6479.1428974
"139","All Transitions","14110_49_51_52",0.058898,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,193,0,11.367314
"140","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,18815,0,5784.491126
"141","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,6437,0,1978.9938548
"142","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1631,5463,0,1679.5469052
"143","All Transitions","14120_39_40_41_42_43_50_51",0.3074404,"North-Central Interior Sand and Gravel Tallgrass Prairie",1653,608,0,186.9237632
"144","All Transitions","14200_39_40_42",0.4591252,"Northern Tallgrass Prairie",1654,6634,0,3045.8365768
"145","All Transitions","14200_41",0.3117084,"Northern Tallgrass Prairie",1604,7821,0,2437.8713964
"146","All Transitions","14210_31_38_42_43_44_50_51",0.3125626,"Central Tallgrass Prairie",1576,9858,0,3081.2421108
"147","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1605,705055,1.1,90336.440974
"148","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1633,90068,0.1,11540.1246224
"149","All Transitions","14440_41_50_51",0.1281268,"Eastern Boreal Floodplain",1577,12545,0,1607.350706
"150","All Transitions","14660_50_51",0.0077348,"Great Lakes Wooded Dune and Swale",1578,32167,0.1,248.8053116
"151","All Transitions","14660_50_51",0.0077348,"Great Lakes Wooded Dune and Swale",1634,13046,0,100.9082008
"152","All Transitions","14690_31_39_40_43",0.0974352,"Eastern Great Plains Floodplain Systems",1655,9,0,0.8769168
"153","All Transitions","14710_41_50",0.2349752,"Central Interior and Appalachian Floodplain Systems",1579,17514,0,4115.3556528
"154","All Transitions","14710_41_50",0.2349752,"Central Interior and Appalachian Floodplain Systems",1606,19197,0,4510.8189144
"155","All Transitions","14710_51_62",0.2292252,"Central Interior and Appalachian Floodplain Systems",1635,74339,0.1,17040.3721428
"156","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1607,434621,0.7,100308.7013918
"157","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1636,223804,0.4,51653.0232232
"158","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",1580,180397,0.3,41634.8699326
"159","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1608,4275013,6.8,99394.9072526
"160","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1581,1712958,2.7,39826.6160916
"161","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1637,1388897,2.2,32292.1330294
"162","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1656,50985,0.1,1185.411447
"163","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1609,36647,0.1,333.9787698
"164","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1582,8453,0,77.0355702
"165","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1638,21007,0,191.4451938
"166","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,3593603,5.7,18581.8023924
"167","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,1056194,1.7,5461.3679352
"168","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,1094690,1.7,5660.423052
"169","All Transitions","14820_39_40",0.2276196,"Great Plains Prairie Pothole",1657,109,0,24.8105364
"170","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1584,56188,0.1,1256.251304
"171","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1640,38967,0.1,871.224186
"172","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1611,477,0,10.664766
"173","All Transitions","14930_41_42_44_50",0.4118612,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,31866,0.1,13124.3689992
"174","All Transitions","14930_41_42_44_50",0.4118612,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,2660,0,1095.550792
"175","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,785906,1.3,311674.60148
"176","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1586,209832,0.3,83215.17456
"177","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,1106,0,438.61748
"178","All Transitions","14950_31_39_40",0.3991594,"Western Great Plains Depressional Wetland Systems",1658,422,0,168.4452668
"179","All Transitions","15170_42_49_50",0.0874838,"Paleozoic Plateau Bluff and Talus",1587,8763,0,766.6205394
"180","Alternative Succession","13020_40",0.000173,"Laurentian-Acadian Northern Hardwoods Forest",1647,29,0,0.005017
"181","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5221136,8.3,2004.916224
"182","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,4826790,7.7,1853.48736
"183","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,3367389,5.4,1293.077376
"184","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,3200465,5.1,1228.97856
"185","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2241937,3.6,860.903808
